"date","grouping","Troops","troops.mean","troops.med","troops.sd","Police","police.mean","police.median","police.sd","Obvservers","obvservers.mean","obvservers.median","obvservers.sd","Total","total.mean","total.median","total.sd"
1994-03-31,"A3",2715,678.75,525.5,705.617637251224,65,21.6666666666667,21,12.0138808606267,99,11,10,4.84767985741633,2879,239.916666666667,15,492.298959120893
1994-03-31,"G4",5909,1181.8,53,2128.26377594508,70,14,10,12.2678441463853,123,12.3,10.5,8.99444272870754,6102,435.857142857143,18.5,1315.04371715239
1994-03-31,"None",45992,582.177215189873,350,807.041332139742,1059,21.18,15,19.9383642094064,1852,11.4320987654321,7,11.1142438647817,48903,223.301369863014,12,563.41165922477
1994-03-31,"P5",11520,1440,544.5,2052.5767081542,103,34.3333333333333,41,11.5470053837925,339,16.95,15,6.66866198210548,11962,460.076923076923,18,1287.50356653726
1994-04-30,"A3",2798,699.5,565.5,705.974739869164,71,23.6666666666667,21,15.1767365837763,100,11.1111111111111,10,5.06074215022966,2969,247.416666666667,15.5,499.253526110065
1994-04-30,"G4",5901,1180.2,53,2128.51466990481,71,14.2,10,12.6964561984831,106,11.7777777777778,8,9.40449065311059,6078,434.142857142857,19,1314.2552062871
1994-04-30,"None",45233,603.106666666667,350,956.063332931755,1057,21.5714285714286,15,20.0031247558975,1833,11.5283018867925,7,10.8329147524971,48123,224.873831775701,13,637.410774731596
1994-04-30,"P5",13305,1900.71428571429,800,2469.07058858765,108,36,41,12.2882057274445,339,16.95,15,6.74712414370199,13752,550.08,17,1518.49053119647
1994-05-31,"A3",2858,714.5,587,714.029644576003,113,22.6,10,21.8586367369971,98,10.8888888888889,10,4.93569763165362,3069,255.75,15,508.197371285821
1994-05-31,"G4",5954,1190.8,56,2150.11411325074,96,19.2,10,26.9295376863399,104,13,10.5,9.25820099772552,6154,473.384615384615,20,1374.7705589456
1994-05-31,"None",44915,590.986842105263,320,974.427154704014,1195,19.2741935483871,10.5,18.4969375886563,1805,11.3522012578616,7,10.6984787542642,47915,218.7899543379,11,642.632467113614
1994-05-31,"P5",12964,1852,833,2350.16495874935,97,32.3333333333333,38,12.5033328890074,333,16.65,15,6.64335837707976,13394,535.76,16,1456.90503236599
